Algorithm,Features Used,Accuracy ,Accuracy  SE,Precision ,Precision  SE,Recall ,Recall  SE,F1 Score ,F1 Score  SE,ROC-AUC ,ROC-AUC  SE,Specificity ,Specificity  SE
RandomForestClassifier,Milk_features,0.88,0.01,0.88,0.01,0.88,0.01,0.87,0.01,0.9,0.02,0.95,0.03
RandomForestClassifier,Max_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.43,0.06,1.0,0.0
RandomForestClassifier,Min_deviation,0.8,0.01,0.7,0.03,0.8,0.01,0.74,0.01,0.51,0.06,0.97,0.02
RandomForestClassifier,Max_min_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.43,0.06,1.0,0.0
RandomForestClassifier,Average_deviation,0.77,0.03,0.71,0.03,0.77,0.03,0.73,0.02,0.54,0.07,0.92,0.03
RandomForestClassifier,Combo_max_dev,0.87,0.01,0.87,0.02,0.87,0.01,0.86,0.01,0.9,0.02,0.96,0.03
RandomForestClassifier,Combo_min_dev,0.87,0.01,0.86,0.01,0.87,0.01,0.86,0.01,0.9,0.03,0.95,0.02
RandomForestClassifier,combo_avge_dev,0.88,0.02,0.88,0.02,0.88,0.02,0.87,0.02,0.91,0.02,0.96,0.03
RandomForestClassifier,Temp_features,0.8,0.01,0.67,0.01,0.8,0.01,0.73,0.01,0.5,0.05,0.97,0.01
LogisticRegression,Milk_features,0.88,0.02,0.87,0.02,0.88,0.02,0.87,0.01,0.9,0.01,0.96,0.02
LogisticRegression,Max_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.47,0.02,1.0,0.0
LogisticRegression,Min_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.5,0.05,1.0,0.0
LogisticRegression,Max_min_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.47,0.02,1.0,0.0
LogisticRegression,Average_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.51,0.05,1.0,0.0
LogisticRegression,Combo_max_dev,0.87,0.01,0.86,0.01,0.87,0.01,0.86,0.01,0.9,0.01,0.96,0.03
LogisticRegression,Combo_min_dev,0.88,0.02,0.87,0.02,0.88,0.02,0.87,0.01,0.9,0.01,0.96,0.03
LogisticRegression,combo_avge_dev,0.87,0.02,0.87,0.02,0.87,0.02,0.86,0.02,0.9,0.01,0.95,0.03
LogisticRegression,Temp_features,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.49,0.02,1.0,0.0
AdaBoostClassifier,Milk_features,0.87,0.01,0.87,0.01,0.87,0.01,0.87,0.01,0.91,0.01,0.93,0.02
AdaBoostClassifier,Max_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.46,0.05,1.0,0.0
AdaBoostClassifier,Min_deviation,0.82,0.01,0.67,0.01,0.82,0.01,0.74,0.0,0.53,0.03,1.0,0.01
AdaBoostClassifier,Max_min_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.46,0.05,1.0,0.0
AdaBoostClassifier,Average_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.6,0.04,1.0,0.0
AdaBoostClassifier,Combo_max_dev,0.87,0.01,0.87,0.01,0.87,0.01,0.87,0.01,0.91,0.01,0.93,0.02
AdaBoostClassifier,Combo_min_dev,0.87,0.01,0.87,0.01,0.87,0.01,0.87,0.01,0.91,0.01,0.93,0.02
AdaBoostClassifier,combo_avge_dev,0.87,0.01,0.87,0.01,0.87,0.01,0.87,0.01,0.91,0.01,0.93,0.02
AdaBoostClassifier,Temp_features,0.8,0.01,0.68,0.02,0.8,0.01,0.74,0.01,0.55,0.08,0.97,0.02
NaiveBayes,Milk_features,0.86,0.01,0.86,0.01,0.86,0.01,0.86,0.01,0.87,0.02,0.94,0.02
NaiveBayes,Max_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.49,0.02,1.0,0.0
NaiveBayes,Min_deviation,0.81,0.01,0.72,0.05,0.81,0.01,0.75,0.01,0.49,0.07,0.98,0.01
NaiveBayes,Max_min_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.49,0.02,1.0,0.0
NaiveBayes,Average_deviation,0.82,0.0,0.67,0.01,0.82,0.0,0.74,0.0,0.54,0.03,1.0,0.0
NaiveBayes,Combo_max_dev,0.86,0.01,0.86,0.01,0.86,0.01,0.86,0.01,0.87,0.02,0.94,0.02
NaiveBayes,Combo_min_dev,0.86,0.01,0.85,0.01,0.86,0.01,0.85,0.01,0.87,0.02,0.93,0.03
NaiveBayes,combo_avge_dev,0.86,0.01,0.86,0.0,0.86,0.01,0.85,0.0,0.87,0.02,0.94,0.03
NaiveBayes,Temp_features,0.82,0.01,0.76,0.06,0.82,0.01,0.76,0.01,0.51,0.03,0.99,0.01
